Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time
2014-02-11,Bench Press (Touch and Go),Chest,75.0,5,,,
2014-02-11,Barbell Row,Back,62.5,5,,,
2014-02-13,Deadlift,Back,115.0,5,,,
2014-02-13,Squat,Legs,80.0,5,,,
2014-02-13,High Bar Squat,Legs,75.0,5,,,
2014-02-14,Barbell Row,Back,65.0,3,,,
2014-02-14,Bench Press (Touch and Go),Chest,77.5,3,,,
2014-02-18,Bench Press (Touch and Go),Chest,77.5,5,,,
2014-02-18,Barbell Row,Back,65.0,5,,,
2014-02-20,Squat,Legs,80.0,5,,,
2014-02-20,Deadlift,Back,115.0,5,,,
2014-02-21,Bench Press (Touch and Go),Chest,80.0,3,,,
2014-02-21,Barbell Row,Back,70.0,3,,,
2014-02-25,Bench Press (Touch and Go),Chest,80.0,4,,,
2014-02-25,Barbell Row,Back,67.5,5,,,
2014-02-27,Squat,Legs,82.5,5,,,
2014-02-27,Deadlift,Back,117.5,5,,,
2014-02-28,Bench Press (Touch and Go),Chest,82.5,3,,,
2014-02-28,Barbell Row,Back,67.5,3,,,
2014-03-03,Barbell Row,Back,67.5,5,,,
2014-03-04,Bench Press (Touch and Go),Chest,80.0,5,,,
2014-03-04,Overhead Press,Shoulders,35.0,5,,,
2014-03-05,Squat,Legs,82.5,3,,,
2014-03-05,Deadlift,Back,122.5,5,,,
2014-03-06,Barbell Row,Back,72.5,3,,,
2014-03-07,Bench Press (Touch and Go),Chest,85.0,3,,,
2014-03-07,Overhead Press,Shoulders,40.0,3,,,
2014-03-11,Bench Press (Touch and Go),Chest,82.5,4,,,
2014-03-11,Barbell Row,Back,70.0,5,,,
2014-03-12,Squat,Legs,85.0,4,,,
2014-03-12,Deadlift,Back,125.0,5,,,
2014-03-13,Bench Press (Touch and Go),Chest,85.0,3,,,
2014-03-14,Barbell Row,Back,75.0,3,,,
2014-03-17,Bench Press (Touch and Go),Chest,82.5,5,,,
2014-03-18,Barbell Row,Back,72.5,5,,,
2014-03-19,Squat,Legs,80.0,3,,,
2014-03-20,Bench Press (Touch and Go),Chest,87.5,3,,,
2014-03-21,Deadlift,Back,127.5,5,,,
2014-03-24,Bench Press (Touch and Go),Chest,85.0,5,,,
2014-03-25,Barbell Row,Back,75.0,5,,,
2014-03-26,Squat,Legs,82.5,3,,,
2014-03-27,Bench Press (Touch and Go),Chest,90.0,3,,,
2014-03-28,Deadlift,Back,130.0,5,,,
2014-03-31,Bench Press (Touch and Go),Chest,85.0,4,,,
2014-04-01,Barbell Row,Back,77.5,5,,,
2014-04-02,Deadlift,Back,132.5,5,,,
2014-04-02,Squat,Legs,70.0,5,,,
2014-04-03,Bench Press (Touch and Go),Chest,90.0,3,,,
2014-04-04,Barbell Row,Back,80.0,3,,,
2014-04-07,Barbell Row,Back,77.5,5,,,
2014-04-08,Bench Press (Touch and Go),Chest,87.5,5,,,
2014-04-09,Squat,Legs,80.0,5,,,
2014-04-09,Deadlift,Back,135.0,5,,,
2014-04-11,Barbell Row,Back,80.0,5,,,
2014-04-13,Bench Press (Touch and Go),Chest,92.5,2,,,
2014-04-15,Bench Press (Touch and Go),Chest,87.5,5,,,
2014-05-02,Squat,Legs,67.5,5,,,
2014-05-03,Bench Press (Touch and Go),Chest,81.5,5,,,
2014-05-03,Overhead Press,Shoulders,40.0,5,,,
2014-05-05,Squat,Legs,70.0,5,,,
2014-05-05,Barbell Row,Back,70.0,5,,,
2014-05-06,Overhead Press,Shoulders,40.0,5,,,
2014-05-06,Bench Press (Touch and Go),Chest,85.0,4,,,
2014-05-07,Squat,Legs,72.5,5,,,
2014-05-07,Deadlift,Back,130.0,5,,,
2014-05-08,Bench Press (Touch and Go),Chest,90.0,3,,,
2014-05-09,Squat,Legs,75.0,5,,,
2014-05-09,Barbell Row,Back,75.0,5,,,
2014-05-09,Chin Up,Back,88.0,6,,,
2014-05-09,Pull Up,Back,88.0,4,,,
2014-05-10,Bench Press (Touch and Go),Chest,84.0,5,,,
2014-05-10,Overhead Press,Shoulders,42.5,5,,,
2014-05-12,Squat,Legs,77.5,5,,,
2014-05-12,Pull Up,Back,78.0,10,,,
2014-05-12,Barbell Row,Back,77.5,5,,,
2014-05-13,Bench Press (Touch and Go),Chest,92.5,2,,,
2014-05-13,Overhead Press,Shoulders,30.0,5,,,
2014-05-13,Incline DB Bench Press,Chest,44.0,10,,,
2014-05-14,Squat,Legs,77.5,5,,,
2014-05-14,Deadlift,Back,132.5,5,,,
