Date,Meal,Name,Calories,Carbs,Fat,Protein,Cholesterol,Sodium,Sugars,Fibre
18-Jul-16,Breakfast,"Grega - Superano Ham (zout), 200 gram",434,2,22,56,0,4000,2,0
18-Jul-16,Breakfast,"Born 3 - Omega 3 Eggs, 11 Egg 50g",880,0,66,77,2640,770,0,0
18-Jul-16,Breakfast,"Pietro Coricelli - Extra Virgin Olive Oil (Olio Extra Vergine Di Oliva), 15 ml",123,0,14,0,0,0,0,0
18-Jul-16,Lunch,"Fruit - - Watermelon, 616 g (1 cup)",184,48,4,4,0,8,36,4
18-Jul-16,Lunch,"Myprotein - Maltodextrine, 60 g",230,56,0,0,0,26,56,0
18-Jul-16,Snacks,"Delhaize - Salted Rice Cakes, 100 g",385,79,4,8,0,0,0,3
18-Jul-16,"Workout meal","Body &amp; Fit - Maltodextrine Pure, 120 g",456,114,0,0,0,0,6,0
18-Jul-16,Dinner,"Rice - With Rice, 150 g",540,113,3,11,0,0,0,0
18-Jul-16,Dinner,"Boni - Atlantische Zalmhaasjes, 400 g",888,0,68,72,0,440,0,0
18-Jul-16,Dinner,"Pietro Coricelli - Extra Virgin Olive Oil (Olio Extra Vergine Di Oliva), 10 ml",82,0,9,0,0,0,0,0
19-Jul-16,Breakfast,"Watermelon, raw, 4 cup, balls",185,47,1,4,0,6,38,2
19-Jul-16,Breakfast,"Bio - Banane, 100 g",92,21,0,1,0,1,0,2
19-Jul-16,Breakfast,"Vers - Perzik, 1 stuk",48,11,0,1,0,0,0,0
19-Jul-16,Lunch,"Sweet Potato - Plain, 300 grams",258,60,0,5,0,165,13,9
19-Jul-16,Lunch,"Ah Excellent - Italiaanse Olijfolie - Extra Vierge, 10 ml",83,0,9,0,0,0,0,0
19-Jul-16,Lunch,"Egg - 1 Scrambled Egg White, 6 Egg (33g)",102,1,1,24,0,330,1,0
19-Jul-16,Lunch,"Costco - Egg, 6 egg",480,6,30,42,1260,480,0,0
19-Jul-16,Lunch,"boni - wokgroenten, 200 gr",118,22,1,3,0,0,13,7
19-Jul-16,Snacks,"Delhaize - Salted Rice Cakes, 100 g",385,79,4,8,0,0,0,3
19-Jul-16,Dinner,"Okay - Dunne Lende, 461.0 g",521,0,9,97,0,231,0,0
19-Jul-16,Dinner,"Algemeen - Wortels, 300 gr",123,32,1,3,0,207,0,8
19-Jul-16,Dinner,"Pietro Coricelli - Extra Virgin Olive Oil (Olio Extra Vergine Di Oliva), 40 ml",329,0,37,0,0,0,0,0
19-Jul-16,Dinner,"Rice - With Rice, 125 g",450,94,3,9,0,0,0,0
20-Jul-16,Breakfast,"Bio - Banane, 400 g",368,86,1,4,0,4,0,7
20-Jul-16,Lunch,"rijskoeken - colruyt, 200 gram",774,162,6,15,0,0,0,7
20-Jul-16,Dinner,"Okay - Dunne Lende, 430 g",486,0,9,90,0,215,0,0
20-Jul-16,Dinner,"Kirkland Olive Oil - Pure Olive Oil, 1.2 tbsp",144,0,17,0,0,0,0,0
