Date,Meal,Name,Calories,Carbs,Fat,Protein,Cholesterol,Sodium,Sugars,Fibre
31-Aug-16,Breakfast,"olive oil, 10 g",88,0,10,0,0,0,0,0
31-Aug-16,Breakfast,"eggs, 4 #",368,2,27,31,768,348,2,0
31-Aug-16,Breakfast,"bacon cubes, 120 g",328,0,28,20,0,2880,0,0
31-Aug-16,Lunch,"Colruyt Everyd - Fruitsap, 1000 ml",430,89,1,7,0,0,89,0
31-Aug-16,Lunch,"rice (white), 125 g",450,94,3,9,0,0,0,0
31-Aug-16,Lunch,"chicken breast (frozen), 320 g",352,0,5,74,144,160,0,0
31-Aug-16,Snacks,"chocolate 85%, 10 g",62,2,5,1,0,0,1,1
31-Aug-16,Dinner,"atlantic salmon, 400 g",832,0,52,80,220,236,0,0
31-Aug-16,Dinner,"boni - wokgroenten, 200 gr",118,22,1,3,0,0,13,7
31-Aug-16,Dinner,"Extra Virgin - Kokos Olie , 10 gr.",86,0,10,0,0,0,0,0
31-Aug-16,Dinner,"olive oil, 15 g",133,0,15,0,0,0,0,0
31-Aug-16,Dinner,"rice (white), 100 g",360,75,2,7,0,0,0,0
01-Sep-16,Breakfast,"eggs, 4 #",368,2,27,31,768,348,2,0
01-Sep-16,Breakfast,"olive oil, 10 g",88,0,10,0,0,0,0,0
01-Sep-16,Breakfast,"bacon cubes, 100 g",273,0,23,17,0,2400,0,0
01-Sep-16,Lunch,"rice cracker, 200 g",770,158,7,15,0,400,1,6
01-Sep-16,Lunch,"atlantic salmon, 200 g",416,0,26,40,110,118,0,0
01-Sep-16,Lunch,"sweet potato, 500 g",430,100,1,8,0,275,21,15
01-Sep-16,Lunch,"olive oil, 10 g",88,0,10,0,0,0,0,0
01-Sep-16,Lunch,"broccoli, 200 g",68,14,1,6,0,66,3,5
01-Sep-16,Dinner,"Boni - Erwten en jonge wortelen, 300 g",144,20,0,12,0,0,15,0
