Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Height (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Running duration (ms)
00:00:00.000+01:00,00:15:00.000+01:00,,62.23164367675781,,,,,,,,,,,,,,,,900000,
00:15:00.000+01:00,00:30:00.000+01:00,,53.12486267089844,,,,,50.86174774169922,3.569154739379883,50.86174774169922,3.569154739379883,,,,,,,,900000,
00:30:00.000+01:00,00:45:00.000+01:00,,46.64468765258789,,,,,,,,,,,,,,,,900000,
00:45:00.000+01:00,01:00:00.000+01:00,,19.123804092407227,,,,,50.861854553222656,3.5678446292877197,50.861854553222656,3.5678446292877197,,,,,,,,900000,
01:00:00.000+01:00,01:15:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
01:15:00.000+01:00,01:30:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
01:30:00.000+01:00,01:45:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
01:45:00.000+01:00,02:00:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
02:00:00.000+01:00,02:15:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
02:15:00.000+01:00,02:30:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
02:30:00.000+01:00,02:45:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
02:45:00.000+01:00,03:00:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
03:00:00.000+01:00,03:15:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
03:15:00.000+01:00,03:30:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
03:30:00.000+01:00,03:45:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
03:45:00.000+01:00,04:00:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
04:00:00.000+01:00,04:15:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
04:15:00.000+01:00,04:30:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
04:30:00.000+01:00,04:45:00.000+01:00,,,,,,,,,,,,,,,,,,900000,
04:45:00.000+01:00,05:00:00.000+01:00,,64.62079620361328,,,,,50.861812591552734,3.5678446292877197,50.861854553222656,3.568368673324585,,,,,,,,900000,
05:00:00.000+01:00,05:15:00.000+01:00,,581.5599975585938,,,,,50.861854553222656,3.5678446292877197,50.861854553222656,3.5678446292877197,,,,,,,,900000,
05:15:00.000+01:00,05:30:00.000+01:00,,629.88134765625,,,,,,,,,,,,,,,,900000,
05:30:00.000+01:00,05:45:00.000+01:00,,629.88134765625,,,,,,,,,,,,,,,,900000,
05:45:00.000+01:00,06:00:00.000+01:00,,326.16162109375,,,,,50.859657287597656,3.5947518348693848,50.859657287597656,3.5947518348693848,,,,,,,,900000,
06:00:00.000+01:00,06:15:00.000+01:00,,282.81890869140625,,,,,,,,,,,,,,,,900000,
06:15:00.000+01:00,06:30:00.000+01:00,,282.81890869140625,,,,,,,,,,,,,,,,900000,
06:30:00.000+01:00,06:45:00.000+01:00,,282.81890869140625,,,,,,,,,,,,,,,,900000,
06:45:00.000+01:00,07:00:00.000+01:00,,282.81890869140625,,,,,,,,,,,,,,,,900000,
07:00:00.000+01:00,07:15:00.000+01:00,,282.81890869140625,,,,,,,,,,,,,,,,900000,
07:15:00.000+01:00,07:30:00.000+01:00,,217.94007873535156,,,,,50.86174774169922,3.569154739379883,50.86174774169922,3.569154739379883,,,,,,,,900000,
07:30:00.000+01:00,07:45:00.000+01:00,,469.05609130859375,,,,,50.861854553222656,3.5678446292877197,50.861854553222656,3.5678446292877197,,,,,,,,900000,
07:45:00.000+01:00,08:00:00.000+01:00,,562.9256591796875,,,,,,,,,,,,,,,,900000,
08:00:00.000+01:00,08:15:00.000+01:00,,562.9256591796875,,,,,,,,,,,,,,,,900000,
08:15:00.000+01:00,08:30:00.000+01:00,,454.2445983886719,,,,,50.859657287597656,3.5947518348693848,50.859657287597656,3.5947518348693848,,,,,,,,900000,
08:30:00.000+01:00,08:45:00.000+01:00,,280.95770263671875,,,,,,,,,,,,,,,,900000,
08:45:00.000+01:00,09:00:00.000+01:00,,280.95770263671875,,,,,,,,,,,,,,,,900000,
09:00:00.000+01:00,09:15:00.000+01:00,,280.95770263671875,,,,,,,,,,,,,,,,900000,
09:15:00.000+01:00,09:30:00.000+01:00,,280.95770263671875,,,,,,,,,,,,,,,,900000,
09:30:00.000+01:00,09:45:00.000+01:00,,280.95770263671875,,,,,,,,,,,,,,,,900000,
09:45:00.000+01:00,10:00:00.000+01:00,,280.95770263671875,,,,,,,,,,,,,,,,900000,
10:00:00.000+01:00,10:15:00.000+01:00,,4692.94580078125,,,,,50.86174774169922,3.569154739379883,50.87211608886719,3.6210739612579346,,,,52,,,,618591,
10:15:00.000+01:00,10:30:00.000+01:00,,2097.339111328125,,,,,50.86894226074219,3.6210739612579346,50.86894226074219,3.6210739612579346,,,,,,,,900000,
10:30:00.000+01:00,10:45:00.000+01:00,,3069.8447265625,,,,,50.86130905151367,3.5978474617004395,50.863853454589844,3.6055893898010254,,,,211,,,,612115,
10:45:00.000+01:00,11:00:00.000+01:00,,27544.451171875,,,,,50.86130905151367,3.5678446292877197,50.86894226074219,3.6210739612579346,,,,543,,,,,
11:00:00.000+01:00,11:15:00.000+01:00,,2837.236083984375,,,,,50.86130905151367,3.5978474617004395,50.86894226074219,3.6210739612579346,,,,33,,,,878873,
11:15:00.000+01:00,11:30:00.000+01:00,,389.1469421386719,,,,,,,,,,,,,,,,900000,
11:30:00.000+01:00,11:45:00.000+01:00,,389.1469421386719,,,,,,,,,,,,10,,,,900000,
11:45:00.000+01:00,12:00:00.000+01:00,,389.1469421386719,,,,,,,,,,,,6,,,,900000,
12:00:00.000+01:00,12:15:00.000+01:00,,733.6793212890625,,,,,50.86130905151367,3.5978474617004395,50.86130905151367,3.5978474617004395,,,,4,,,,900000,
12:15:00.000+01:00,12:30:00.000+01:00,,24318.884765625,,,,,50.86130905151367,3.5678446292877197,50.871978759765625,3.6210739612579346,,,,321,,,,531571,
12:30:00.000+01:00,12:45:00.000+01:00,,12794.185546875,,,,,50.86130905151367,3.5978474617004395,50.86894226074219,3.6210739612579346,,,,197,,,,779945,
12:45:00.000+01:00,13:00:00.000+01:00,,23239.93359375,,,,,50.86130905151367,3.5678446292877197,50.86894226074219,3.6210739612579346,,,,467,,,,412395,160492
13:00:00.000+01:00,13:15:00.000+01:00,,2397.87451171875,,,,,50.86130905151367,3.5678446292877197,50.861854553222656,3.5978474617004395,,,,,,,,900000,
13:15:00.000+01:00,13:30:00.000+01:00,,11.4957275390625,,,,,,,,,,,,,,,,900000,
13:30:00.000+01:00,13:45:00.000+01:00,,11.4957275390625,,,,,,,,,,,,,,,,900000,
13:45:00.000+01:00,14:00:00.000+01:00,,11.4957275390625,,,,,,,,,,,,,,,,900000,
14:00:00.000+01:00,14:15:00.000+01:00,,185.0424041748047,,,,,50.86174774169922,3.5678446292877197,50.861854553222656,3.569154739379883,,,,23,,,,900000,
14:15:00.000+01:00,14:30:00.000+01:00,,80.90957641601562,,,,,50.861854553222656,3.5678446292877197,50.861854553222656,3.5678446292877197,,,,,,,,900000,
14:30:00.000+01:00,14:45:00.000+01:00,,139.3026580810547,,,,,50.86174774169922,3.569154739379883,50.86174774169922,3.569154739379883,,,,59,,,,900000,
14:45:00.000+01:00,15:00:00.000+01:00,,20923.283203125,,,,,50.86174774169922,3.5678446292877197,50.889530181884766,3.627152919769287,,,,34,,,,900000,
15:00:00.000+01:00,15:15:00.000+01:00,,1474.0196533203125,,,,,50.860652923583984,3.5819640159606934,50.860652923583984,3.5819640159606934,,,,,,,,900000,
15:15:00.000+01:00,15:30:00.000+01:00,,3371.65478515625,,,,,50.85955810546875,3.569154739379883,50.86174774169922,3.5978474617004395,,,,,,,,900000,
15:30:00.000+01:00,15:45:00.000+01:00,,2120.915283203125,,,,,,,,,,,,,,,,900000,
15:45:00.000+01:00,16:00:00.000+01:00,,2285.3837890625,,,,,50.889530181884766,3.627152919769287,50.889530181884766,3.627152919769287,,,,,,,,900000,
16:00:00.000+01:00,16:15:00.000+01:00,,4722.267578125,,,,,50.86130905151367,3.5978474617004395,50.86130905151367,3.5978474617004395,,,,,,,,900000,
16:15:00.000+01:00,16:30:00.000+01:00,,872.4539184570312,,,,,50.861854553222656,3.5678446292877197,50.861854553222656,3.5678446292877197,,,,,,,,900000,
16:30:00.000+01:00,16:45:00.000+01:00,,62.60511016845703,,,,,50.86174774169922,3.569154739379883,50.86174774169922,3.569154739379883,,,,,,,,900000,
16:45:00.000+01:00,17:00:00.000+01:00,,126.982421875,,,,,50.861854553222656,3.5678446292877197,50.861854553222656,3.5678446292877197,,,,,,,,900000,
17:00:00.000+01:00,17:15:00.000+01:00,,1217.3897705078125,,,,,50.86174774169922,3.5678446292877197,50.861854553222656,3.569154739379883,,,,,,,,900000,
17:15:00.000+01:00,17:30:00.000+01:00,,3179.841552734375,,,,,50.86130905151367,3.5678446292877197,50.861854553222656,3.5978474617004395,,,,,,,,900000,
17:30:00.000+01:00,17:45:00.000+01:00,,82.8389663696289,,,,,50.86174774169922,3.569154739379883,50.86174774169922,3.569154739379883,,,,23,,,,900000,
17:45:00.000+01:00,18:00:00.000+01:00,,62.40090560913086,,,,,,,,,,,,,,,,900000,
18:00:00.000+01:00,18:15:00.000+01:00,,1534.91943359375,,,,,50.861854553222656,3.5678446292877197,50.861854553222656,3.5678446292877197,,,,,,,,900000,
18:15:00.000+01:00,18:30:00.000+01:00,,1645.665283203125,,,,,,,,,,,,,,,,900000,
18:30:00.000+01:00,18:45:00.000+01:00,,4229.34033203125,,,,,50.86130905151367,3.5978474617004395,50.86894226074219,3.6210739612579346,,,,82,,,,900000,
18:45:00.000+01:00,19:00:00.000+01:00,,4932.314453125,,,,,50.861854553222656,3.5678446292877197,50.86894226074219,3.6210739612579346,,,,6,,,,900000,
19:00:00.000+01:00,19:15:00.000+01:00,,3372.57373046875,,,,,50.86130905151367,3.5678446292877197,50.861854553222656,3.5978474617004395,,,,,,,,900000,
19:15:00.000+01:00,19:30:00.000+01:00,,1489.3521728515625,,,,,,,,,,,,,,,,900000,
19:30:00.000+01:00,19:45:00.000+01:00,,1489.3521728515625,,,,,,,,,,,,,,,,900000,
19:45:00.000+01:00,20:00:00.000+01:00,,1548.200927734375,,,,,50.86894226074219,3.6210739612579346,50.86894226074219,3.6210739612579346,,,,,,,,900000,
20:00:00.000+01:00,20:15:00.000+01:00,,19113.859375,,,,,50.86130905151367,3.5789997577667236,50.92863082885742,3.630803108215332,,,,48,,,,900000,
20:15:00.000+01:00,20:30:00.000+01:00,,6356.5986328125,,,,,50.85955810546875,3.594773054122925,50.85955810546875,3.594773054122925,,,,,,,,900000,
20:30:00.000+01:00,20:45:00.000+01:00,,6.9494524002075195,,,,,50.859657287597656,3.5947518348693848,50.859657287597656,3.5947518348693848,,,,,,,,900000,
20:45:00.000+01:00,21:00:00.000+01:00,,6.829291343688965,,,,,50.85955810546875,3.594773054122925,50.85955810546875,3.594773054122925,,,,,,,,900000,
21:00:00.000+01:00,21:15:00.000+01:00,,7.2829060554504395,,,,,,,,,,,,,,,,900000,
21:15:00.000+01:00,21:30:00.000+01:00,,3164.9365234375,,,,,50.85955810546875,3.569154739379883,50.87189865112305,3.594773054122925,,,,,,,,900000,
21:30:00.000+01:00,21:45:00.000+01:00,,8644.6728515625,,,,,50.87205123901367,3.5788934230804443,50.8950309753418,3.6282851696014404,0.5,0.5,0.5,12,,,,900000,
21:45:00.000+01:00,22:00:00.000+01:00,,19493.44921875,,,,,50.86174774169922,3.569154739379883,50.92863082885742,3.630803108215332,,,,1,,,,900000,
22:00:00.000+01:00,22:15:00.000+01:00,,10066.2880859375,,,,,50.889530181884766,3.627152919769287,50.889530181884766,3.627152919769287,,,,31,,,,900000,
22:15:00.000+01:00,22:30:00.000+01:00,,19120.41015625,,,,,50.861854553222656,3.5678446292877197,50.8950309753418,3.6282851696014404,2.5,4.5,0.5,34,,,,900000,
22:30:00.000+01:00,22:45:00.000+01:00,,106.92884063720703,,,,,50.87202835083008,3.57912540435791,50.872093200683594,3.579167366027832,,,,51,,,,900000,
22:45:00.000+01:00,23:00:00.000+01:00,,70.93731689453125,,,,,50.871883392333984,3.5790908336639404,50.87226486206055,3.579202175140381,,,,12,,,,900000,
23:00:00.000+01:00,23:15:00.000+01:00,,15.847535133361816,,,,,50.87202835083008,3.5791521072387695,50.87202835083008,3.5791521072387695,,,,14,,,,900000,
23:15:00.000+01:00,23:30:00.000+01:00,,44.267120361328125,,,,,50.87192916870117,3.5791141986846924,50.8720817565918,3.5791709423065186,0.5,0.5,0.5,27,,,,900000,
23:30:00.000+01:00,23:45:00.000+01:00,,3055.2900390625,,,,,50.86174774169922,3.5678446292877197,50.8720817565918,3.5791871547698975,,,,6,,,,488873,
23:45:00.000+01:00,00:00:00.000+01:00,,2290.237060546875,,,,,50.86119842529297,3.575559377670288,50.87210464477539,3.5792417526245117,0.75,0.75,0.75,,,,,,
